V1,V2,V3,V4,V5,V6,V7,v60h,v60t,v60y,v60o,v24h,v24t,v24y,v24o
2016.05.02,00:00,154.89,155.119,154.882,155.084,511,154.89,155.119,154.882,155.084,154.89,155.119,154.882,155.084
2016.05.02,00:15,155.085,155.113,155.022,155.023,144,154.89,155.119,154.882,155.023,154.89,155.119,154.882,155.023
2016.05.02,00:30,155.023,155.147,155.013,155.072,610,154.89,155.147,154.882,155.072,154.89,155.147,154.882,155.072
2016.05.02,00:45,155.072,155.167,155.063,155.132,368,154.89,155.167,154.882,155.132,154.89,155.167,154.882,155.132
2016.05.02,01:00,155.133,155.72,155.133,155.706,1725,155.133,155.72,155.133,155.706,154.89,155.72,154.882,155.706
2016.05.02,01:15,155.709,155.738,155.586,155.614,1228,155.133,155.738,155.133,155.614,154.89,155.738,154.882,155.614
2016.05.02,01:30,155.615,155.721,155.556,155.616,1129,155.133,155.738,155.133,155.616,154.89,155.738,154.882,155.616
2016.05.02,01:45,155.616,155.72,155.616,155.647,1220,155.133,155.738,155.133,155.647,154.89,155.738,154.882,155.647
2016.05.02,02:00,155.654,155.667,155.41,155.471,1179,155.654,155.667,155.41,155.471,154.89,155.738,154.882,155.471
2016.05.02,02:15,155.471,155.481,155.23,155.255,1285,155.654,155.667,155.23,155.255,154.89,155.738,154.882,155.255
2016.05.02,02:30,155.255,155.373,155.242,155.31,1107,155.654,155.667,155.23,155.31,154.89,155.738,154.882,155.31
2016.05.02,02:45,155.312,155.479,155.219,155.411,1297,155.654,155.667,155.219,155.411,154.89,155.738,154.882,155.411
2016.05.02,03:00,155.415,155.508,155.267,155.474,2500,155.415,155.508,155.267,155.474,154.89,155.738,154.882,155.474
2016.05.02,03:15,155.473,155.631,155.427,155.49,2044,155.415,155.631,155.267,155.49,154.89,155.738,154.882,155.49
2016.05.02,03:30,155.49,155.531,155.114,155.322,2444,155.415,155.631,155.114,155.322,154.89,155.738,154.882,155.322
2016.05.02,03:45,155.322,155.581,155.267,155.526,2066,155.415,155.631,155.114,155.526,154.89,155.738,154.882,155.526
2016.05.02,04:00,155.526,155.653,155.504,155.609,1626,155.526,155.653,155.504,155.609,155.526,155.653,155.504,155.609
2016.05.02,04:15,155.611,155.809,155.534,155.726,1337,155.526,155.809,155.504,155.726,155.526,155.809,155.504,155.726
2016.05.02,04:30,155.721,155.726,155.552,155.662,1513,155.526,155.809,155.504,155.662,155.526,155.809,155.504,155.662
2016.05.02,04:45,155.658,155.658,155.516,155.557,1122,155.526,155.809,155.504,155.557,155.526,155.809,155.504,155.557
2016.05.02,05:00,155.553,155.711,155.553,155.665,1202,155.553,155.711,155.553,155.665,155.526,155.809,155.504,155.665
2016.05.02,05:15,155.676,155.678,155.577,155.585,784,155.553,155.711,155.553,155.585,155.526,155.809,155.504,155.585
2016.05.02,05:30,155.585,155.696,155.571,155.636,982,155.553,155.711,155.553,155.636,155.526,155.809,155.504,155.636
2016.05.02,05:45,155.639,155.693,155.571,155.693,972,155.553,155.711,155.553,155.693,155.526,155.809,155.504,155.693
2016.05.02,06:00,155.696,155.769,155.632,155.739,919,155.696,155.769,155.632,155.739,155.526,155.809,155.504,155.739
2016.05.02,06:15,155.739,155.789,155.702,155.744,876,155.696,155.789,155.632,155.744,155.526,155.809,155.504,155.744
2016.05.02,06:30,155.74,155.779,155.645,155.671,1092,155.696,155.789,155.632,155.671,155.526,155.809,155.504,155.671
2016.05.02,06:45,155.67,155.677,155.603,155.622,916,155.696,155.789,155.603,155.622,155.526,155.809,155.504,155.622
2016.05.02,07:00,155.62,155.77,155.614,155.744,752,155.62,155.77,155.614,155.744,155.526,155.809,155.504,155.744
2016.05.02,07:15,155.744,155.779,155.658,155.689,664,155.62,155.779,155.614,155.689,155.526,155.809,155.504,155.689
2016.05.02,07:30,155.691,155.736,155.654,155.709,590,155.62,155.779,155.614,155.709,155.526,155.809,155.504,155.709
2016.05.02,07:45,155.714,155.761,155.67,155.705,661,155.62,155.779,155.614,155.705,155.526,155.809,155.504,155.705
2016.05.02,08:00,155.708,155.713,155.596,155.606,872,155.708,155.713,155.596,155.606,155.708,155.713,155.596,155.606
2016.05.02,08:15,155.606,155.67,155.594,155.636,631,155.708,155.713,155.594,155.636,155.708,155.713,155.594,155.636
2016.05.02,08:30,155.636,155.638,155.558,155.574,855,155.708,155.713,155.558,155.574,155.708,155.713,155.558,155.574
2016.05.02,08:45,155.573,155.672,155.528,155.613,1059,155.708,155.713,155.528,155.613,155.708,155.713,155.528,155.613
2016.05.02,09:00,155.613,155.702,155.551,155.66,1414,155.613,155.702,155.551,155.66,155.708,155.713,155.528,155.66
2016.05.02,09:15,155.661,155.704,155.607,155.635,727,155.613,155.704,155.551,155.635,155.708,155.713,155.528,155.635
2016.05.02,09:30,155.634,155.748,155.634,155.682,1105,155.613,155.748,155.551,155.682,155.708,155.748,155.528,155.682
2016.05.02,09:45,155.682,155.719,155.62,155.707,884,155.613,155.748,155.551,155.707,155.708,155.748,155.528,155.707
2016.05.02,10:00,155.707,156.045,155.704,155.739,1770,155.707,156.045,155.704,155.739,155.708,156.045,155.528,155.739
2016.05.02,10:15,155.74,155.741,155.346,155.389,1561,155.707,156.045,155.346,155.389,155.708,156.045,155.346,155.389
2016.05.02,10:30,155.388,155.494,155.334,155.467,1411,155.707,156.045,155.334,155.467,155.708,156.045,155.334,155.467
2016.05.02,10:45,155.468,155.572,155.416,155.528,964,155.707,156.045,155.334,155.528,155.708,156.045,155.334,155.528
2016.05.02,11:00,155.529,155.651,155.523,155.63,1242,155.529,155.651,155.523,155.63,155.708,156.045,155.334,155.63
2016.05.02,11:15,155.631,155.646,155.471,155.587,1115,155.529,155.651,155.471,155.587,155.708,156.045,155.334,155.587
2016.05.02,11:30,155.587,155.603,155.49,155.602,876,155.529,155.651,155.471,155.602,155.708,156.045,155.334,155.602
2016.05.02,11:45,155.603,155.611,155.494,155.505,683,155.529,155.651,155.471,155.505,155.708,156.045,155.334,155.505
2016.05.02,12:00,155.505,155.553,155.451,155.49,1106,155.505,155.553,155.451,155.49,155.505,155.553,155.451,155.49
2016.05.02,12:15,155.492,155.542,155.42,155.43,1168,155.505,155.553,155.42,155.43,155.505,155.553,155.42,155.43
2016.05.02,12:30,155.431,155.541,155.404,155.521,1208,155.505,155.553,155.404,155.521,155.505,155.553,155.404,155.521
2016.05.02,12:45,155.522,155.527,155.399,155.44,933,155.505,155.553,155.399,155.44,155.505,155.553,155.399,155.44
2016.05.02,13:00,155.442,155.627,155.44,155.552,1335,155.442,155.627,155.44,155.552,155.505,155.627,155.399,155.552
2016.05.02,13:15,155.555,155.651,155.53,155.619,1153,155.442,155.651,155.44,155.619,155.505,155.651,155.399,155.619
2016.05.02,13:30,155.622,155.884,155.598,155.833,1261,155.442,155.884,155.44,155.833,155.505,155.884,155.399,155.833
2016.05.02,13:45,155.833,155.972,155.816,155.939,1243,155.442,155.972,155.44,155.939,155.505,155.972,155.399,155.939
2016.05.02,14:00,155.94,156.059,155.915,155.99,1340,155.94,156.059,155.915,155.99,155.505,156.059,155.399,155.99
2016.05.02,14:15,155.991,156.067,155.951,156.02,1037,155.94,156.067,155.915,156.02,155.505,156.067,155.399,156.02
2016.05.02,14:30,156.018,156.23,156.017,156.131,1172,155.94,156.23,155.915,156.131,155.505,156.23,155.399,156.131
2016.05.02,14:45,156.136,156.28,156.081,156.276,969,155.94,156.28,155.915,156.276,155.505,156.28,155.399,156.276
2016.05.02,15:00,156.276,156.522,156.198,156.471,1575,156.276,156.522,156.198,156.471,155.505,156.522,155.399,156.471
2016.05.02,15:15,156.467,156.55,156.331,156.404,1653,156.276,156.55,156.198,156.404,155.505,156.55,155.399,156.404
2016.05.02,15:30,156.403,156.403,156.265,156.391,1270,156.276,156.55,156.198,156.391,155.505,156.55,155.399,156.391
2016.05.02,15:45,156.388,156.407,156.326,156.39,1095,156.276,156.55,156.198,156.39,155.505,156.55,155.399,156.39
2016.05.02,16:00,156.391,156.49,156.312,156.323,1585,156.391,156.49,156.312,156.323,156.391,156.49,156.312,156.323
2016.05.02,16:15,156.324,156.416,156.223,156.252,1401,156.391,156.49,156.223,156.252,156.391,156.49,156.223,156.252
2016.05.02,16:30,156.258,156.373,156.167,156.333,1945,156.391,156.49,156.167,156.333,156.391,156.49,156.167,156.333
2016.05.02,16:45,156.333,156.551,156.29,156.475,2111,156.391,156.551,156.167,156.475,156.391,156.551,156.167,156.475
2016.05.02,17:00,156.468,156.562,156.398,156.475,3017,156.468,156.562,156.398,156.475,156.391,156.562,156.167,156.475
2016.05.02,17:15,156.475,156.643,156.327,156.339,2390,156.468,156.643,156.327,156.339,156.391,156.643,156.167,156.339
2016.05.02,17:30,156.339,156.367,156.201,156.204,1713,156.468,156.643,156.201,156.204,156.391,156.643,156.167,156.204
2016.05.02,17:45,156.21,156.389,156.175,156.311,1945,156.468,156.643,156.175,156.311,156.391,156.643,156.167,156.311
2016.05.02,18:00,156.308,156.408,156.145,156.232,2095,156.308,156.408,156.145,156.232,156.391,156.643,156.145,156.232
2016.05.02,18:15,156.235,156.26,156.161,156.234,1714,156.308,156.408,156.145,156.234,156.391,156.643,156.145,156.234
2016.05.02,18:30,156.236,156.278,156.139,156.192,1360,156.308,156.408,156.139,156.192,156.391,156.643,156.139,156.192
2016.05.02,18:45,156.191,156.225,156.1,156.124,1533,156.308,156.408,156.1,156.124,156.391,156.643,156.1,156.124
2016.05.02,19:00,156.125,156.22,156.082,156.151,1210,156.125,156.22,156.082,156.151,156.391,156.643,156.082,156.151
2016.05.02,19:15,156.15,156.329,156.142,156.222,1125,156.125,156.329,156.082,156.222,156.391,156.643,156.082,156.222
2016.05.02,19:30,156.221,156.28,156.077,156.108,1410,156.125,156.329,156.077,156.108,156.391,156.643,156.077,156.108
2016.05.02,19:45,156.108,156.238,156.1,156.201,1479,156.125,156.329,156.077,156.201,156.391,156.643,156.077,156.201
2016.05.02,20:00,156.201,156.318,156.171,156.205,1400,156.201,156.318,156.171,156.205,156.201,156.318,156.171,156.205
2016.05.02,20:15,156.205,156.279,156.137,156.263,1072,156.201,156.318,156.137,156.263,156.201,156.318,156.137,156.263
2016.05.02,20:30,156.262,156.358,156.239,156.283,959,156.201,156.358,156.137,156.283,156.201,156.358,156.137,156.283
2016.05.02,20:45,156.28,156.324,156.211,156.235,940,156.201,156.358,156.137,156.235,156.201,156.358,156.137,156.235
2016.05.02,21:00,156.235,156.268,156.17,156.237,1051,156.235,156.268,156.17,156.237,156.201,156.358,156.137,156.237
2016.05.02,21:15,156.238,156.251,156.152,156.203,963,156.235,156.268,156.152,156.203,156.201,156.358,156.137,156.203
2016.05.02,21:30,156.209,156.268,156.13,156.182,884,156.235,156.268,156.13,156.182,156.201,156.358,156.13,156.182
2016.05.02,21:45,156.184,156.196,156.109,156.121,1030,156.235,156.268,156.109,156.121,156.201,156.358,156.109,156.121
2016.05.02,22:00,156.121,156.183,156.06,156.16,699,156.121,156.183,156.06,156.16,156.201,156.358,156.06,156.16
2016.05.02,22:15,156.161,156.177,156.097,156.135,640,156.121,156.183,156.06,156.135,156.201,156.358,156.06,156.135
2016.05.02,22:30,156.134,156.24,156.1,156.223,516,156.121,156.24,156.06,156.223,156.201,156.358,156.06,156.223
2016.05.02,22:45,156.223,156.248,156.124,156.153,756,156.121,156.248,156.06,156.153,156.201,156.358,156.06,156.153
2016.05.02,23:00,156.153,156.228,156.153,156.179,512,156.153,156.228,156.153,156.179,156.201,156.358,156.06,156.179
2016.05.02,23:15,156.176,156.178,156.079,156.117,558,156.153,156.228,156.079,156.117,156.201,156.358,156.06,156.117
2016.05.02,23:30,156.116,156.151,156.115,156.144,397,156.153,156.228,156.079,156.144,156.201,156.358,156.06,156.144
2016.05.02,23:45,156.143,156.15,156.099,156.099,556,156.153,156.228,156.079,156.099,156.201,156.358,156.06,156.099
2016.05.03,00:00,156.1,156.143,156.077,156.086,363,156.1,156.143,156.077,156.086,156.1,156.143,156.077,156.086
2016.05.03,00:15,156.086,156.151,155.979,156.14,316,156.1,156.151,155.979,156.14,156.1,156.151,155.979,156.14
2016.05.03,00:30,156.14,156.14,156.071,156.111,302,156.1,156.151,155.979,156.111,156.1,156.151,155.979,156.111
2016.05.03,00:45,156.113,156.115,156.004,156.045,270,156.1,156.151,155.979,156.045,156.1,156.151,155.979,156.045
2016.05.03,01:00,156.043,156.093,156.04,156.088,859,156.043,156.093,156.04,156.088,156.1,156.151,155.979,156.088
2016.05.03,01:15,156.085,156.085,156.028,156.036,421,156.043,156.093,156.028,156.036,156.1,156.151,155.979,156.036
2016.05.03,01:30,156.036,156.051,156.016,156.033,308,156.043,156.093,156.016,156.033,156.1,156.151,155.979,156.033
2016.05.03,01:45,156.034,156.073,156.024,156.063,368,156.043,156.093,156.016,156.063,156.1,156.151,155.979,156.063
2016.05.03,02:00,156.063,156.088,156.058,156.071,366,156.063,156.088,156.058,156.071,156.1,156.151,155.979,156.071
2016.05.03,02:15,156.071,156.073,156.03,156.032,364,156.063,156.088,156.03,156.032,156.1,156.151,155.979,156.032
2016.05.03,02:30,156.031,156.067,156.027,156.041,427,156.063,156.088,156.027,156.041,156.1,156.151,155.979,156.041
2016.05.03,02:45,156.042,156.081,155.996,155.997,474,156.063,156.088,155.996,155.997,156.1,156.151,155.979,155.997
2016.05.03,03:00,155.997,156.029,155.755,155.796,1159,155.997,156.029,155.755,155.796,156.1,156.151,155.755,155.796
2016.05.03,03:15,155.795,155.799,155.556,155.629,1514,155.997,156.029,155.556,155.629,156.1,156.151,155.556,155.629
2016.05.03,03:30,155.629,155.749,155.626,155.674,1034,155.997,156.029,155.556,155.674,156.1,156.151,155.556,155.674
2016.05.03,03:45,155.676,155.726,155.584,155.68,1071,155.997,156.029,155.556,155.68,156.1,156.151,155.556,155.68
2016.05.03,04:00,155.677,155.721,155.622,155.671,985,155.677,155.721,155.622,155.671,155.677,155.721,155.622,155.671
2016.05.03,04:15,155.675,155.824,155.661,155.808,1004,155.677,155.824,155.622,155.808,155.677,155.824,155.622,155.808
2016.05.03,04:30,155.809,155.964,155.729,155.852,955,155.677,155.964,155.622,155.852,155.677,155.964,155.622,155.852
2016.05.03,04:45,155.852,155.852,155.716,155.786,970,155.677,155.964,155.622,155.786,155.677,155.964,155.622,155.786
2016.05.03,05:00,155.785,155.82,155.702,155.815,996,155.785,155.82,155.702,155.815,155.677,155.964,155.622,155.815
2016.05.03,05:15,155.818,155.953,155.789,155.934,837,155.785,155.953,155.702,155.934,155.677,155.964,155.622,155.934
2016.05.03,05:30,155.934,155.989,155.921,155.971,651,155.785,155.989,155.702,155.971,155.677,155.989,155.622,155.971
2016.05.03,05:45,155.967,155.971,155.818,155.855,721,155.785,155.989,155.702,155.855,155.677,155.989,155.622,155.855
2016.05.03,06:00,155.855,155.867,155.782,155.826,843,155.855,155.867,155.782,155.826,155.677,155.989,155.622,155.826
2016.05.03,06:15,155.827,155.957,155.827,155.875,637,155.855,155.957,155.782,155.875,155.677,155.989,155.622,155.875
2016.05.03,06:30,155.875,155.902,155.839,155.878,469,155.855,155.957,155.782,155.878,155.677,155.989,155.622,155.878
2016.05.03,06:45,155.879,155.939,155.858,155.88,587,155.855,155.957,155.782,155.88,155.677,155.989,155.622,155.88
2016.05.03,07:00,155.874,155.874,155.831,155.839,496,155.874,155.874,155.831,155.839,155.677,155.989,155.622,155.839
2016.05.03,07:15,155.84,155.942,155.835,155.937,434,155.874,155.942,155.831,155.937,155.677,155.989,155.622,155.937
2016.05.03,07:30,155.937,155.938,155.456,155.558,2035,155.874,155.942,155.456,155.558,155.677,155.989,155.456,155.558
2016.05.03,07:45,155.561,155.61,155.443,155.558,1384,155.874,155.942,155.443,155.558,155.677,155.989,155.443,155.558
2016.05.03,08:00,155.558,155.585,155.359,155.425,1176,155.558,155.585,155.359,155.425,155.558,155.585,155.359,155.425
2016.05.03,08:15,155.425,155.448,155.275,155.362,841,155.558,155.585,155.275,155.362,155.558,155.585,155.275,155.362
2016.05.03,08:30,155.358,155.418,155.313,155.41,789,155.558,155.585,155.275,155.41,155.558,155.585,155.275,155.41
2016.05.03,08:45,155.41,155.498,155.319,155.49,1059,155.558,155.585,155.275,155.49,155.558,155.585,155.275,155.49
2016.05.03,09:00,155.49,155.667,155.339,155.625,1914,155.49,155.667,155.339,155.625,155.558,155.667,155.275,155.625
2016.05.03,09:15,155.628,155.891,155.627,155.824,2012,155.49,155.891,155.339,155.824,155.558,155.891,155.275,155.824
2016.05.03,09:30,155.826,155.893,155.734,155.75,1567,155.49,155.893,155.339,155.75,155.558,155.893,155.275,155.75
2016.05.03,09:45,155.751,155.893,155.668,155.882,1544,155.49,155.893,155.339,155.882,155.558,155.893,155.275,155.882
2016.05.03,10:00,155.882,155.909,155.69,155.702,2155,155.882,155.909,155.69,155.702,155.558,155.909,155.275,155.702
2016.05.03,10:15,155.701,155.985,155.698,155.836,2179,155.882,155.985,155.69,155.836,155.558,155.985,155.275,155.836
2016.05.03,10:30,155.838,155.907,155.711,155.818,1941,155.882,155.985,155.69,155.818,155.558,155.985,155.275,155.818
2016.05.03,10:45,155.818,155.911,155.663,155.701,1913,155.882,155.985,155.663,155.701,155.558,155.985,155.275,155.701
2016.05.03,11:00,155.7,156.055,155.64,155.914,2112,155.7,156.055,155.64,155.914,155.558,156.055,155.275,155.914
2016.05.03,11:15,155.915,156.035,155.792,155.956,1805,155.7,156.055,155.64,155.956,155.558,156.055,155.275,155.956
2016.05.03,11:30,155.934,155.934,155.619,155.633,2040,155.7,156.055,155.619,155.633,155.558,156.055,155.275,155.633
2016.05.03,11:45,155.633,155.668,155.379,155.51,1840,155.7,156.055,155.379,155.51,155.558,156.055,155.275,155.51
2016.05.03,12:00,155.504,155.594,155.375,155.581,1724,155.504,155.594,155.375,155.581,155.504,155.594,155.375,155.581
2016.05.03,12:15,155.582,155.721,155.465,155.686,1853,155.504,155.721,155.375,155.686,155.504,155.721,155.375,155.686
2016.05.03,12:30,155.685,155.704,155.418,155.427,1451,155.504,155.721,155.375,155.427,155.504,155.721,155.375,155.427
2016.05.03,12:45,155.426,155.503,155.296,155.371,1487,155.504,155.721,155.296,155.371,155.504,155.721,155.296,155.371
2016.05.03,13:00,155.371,155.371,155.2,155.237,1490,155.371,155.371,155.2,155.237,155.504,155.721,155.2,155.237
2016.05.03,13:15,155.235,155.291,155.14,155.277,1478,155.371,155.371,155.14,155.277,155.504,155.721,155.14,155.277
2016.05.03,13:30,155.276,155.294,155.096,155.179,1450,155.371,155.371,155.096,155.179,155.504,155.721,155.096,155.179
2016.05.03,13:45,155.179,155.327,155.091,155.251,1612,155.371,155.371,155.091,155.251,155.504,155.721,155.091,155.251
2016.05.03,14:00,155.25,155.325,155.096,155.31,1831,155.25,155.325,155.096,155.31,155.504,155.721,155.091,155.31
2016.05.03,14:15,155.31,155.393,155.175,155.183,1277,155.25,155.393,155.096,155.183,155.504,155.721,155.091,155.183
2016.05.03,14:30,155.183,155.195,154.912,154.993,1483,155.25,155.393,154.912,154.993,155.504,155.721,154.912,154.993
2016.05.03,14:45,154.993,155.019,154.743,154.873,1789,155.25,155.393,154.743,154.873,155.504,155.721,154.743,154.873
2016.05.03,15:00,154.873,154.915,154.672,154.863,2019,154.873,154.915,154.672,154.863,155.504,155.721,154.672,154.863
2016.05.03,15:15,154.865,155.034,154.746,155.022,2434,154.873,155.034,154.672,155.022,155.504,155.721,154.672,155.022
2016.05.03,15:30,155.022,155.04,154.845,154.955,2050,154.873,155.04,154.672,154.955,155.504,155.721,154.672,154.955
2016.05.03,15:45,154.954,155.087,154.885,155.026,1915,154.873,155.087,154.672,155.026,155.504,155.721,154.672,155.026
2016.05.03,16:00,155.023,155.041,154.885,154.93,1374,155.023,155.041,154.885,154.93,155.023,155.041,154.885,154.93
2016.05.03,16:15,154.93,154.951,154.736,154.912,1424,155.023,155.041,154.736,154.912,155.023,155.041,154.736,154.912
2016.05.03,16:30,154.91,154.982,154.753,154.901,2045,155.023,155.041,154.736,154.901,155.023,155.041,154.736,154.901
2016.05.03,16:45,154.902,154.907,154.605,154.765,2681,155.023,155.041,154.605,154.765,155.023,155.041,154.605,154.765
2016.05.03,17:00,154.774,154.827,154.425,154.484,2688,154.774,154.827,154.425,154.484,155.023,155.041,154.425,154.484
2016.05.03,17:15,154.484,154.755,154.459,154.704,2500,154.774,154.827,154.425,154.704,155.023,155.041,154.425,154.704
2016.05.03,17:30,154.702,154.707,154.428,154.589,2272,154.774,154.827,154.425,154.589,155.023,155.041,154.425,154.589
2016.05.03,17:45,154.592,154.696,154.486,154.508,2575,154.774,154.827,154.425,154.508,155.023,155.041,154.425,154.508
2016.05.03,18:00,154.511,154.687,154.412,154.655,2482,154.511,154.687,154.412,154.655,155.023,155.041,154.412,154.655
2016.05.03,18:15,154.655,154.71,154.461,154.49,2091,154.511,154.71,154.412,154.49,155.023,155.041,154.412,154.49
2016.05.03,18:30,154.492,154.675,154.427,154.655,1974,154.511,154.71,154.412,154.655,155.023,155.041,154.412,154.655
2016.05.03,18:45,154.653,154.72,154.539,154.63,1584,154.511,154.72,154.412,154.63,155.023,155.041,154.412,154.63
2016.05.03,19:00,154.633,154.709,154.579,154.616,1263,154.633,154.709,154.579,154.616,155.023,155.041,154.412,154.616
2016.05.03,19:15,154.616,154.679,154.523,154.594,1043,154.633,154.709,154.523,154.594,155.023,155.041,154.412,154.594
2016.05.03,19:30,154.596,154.697,154.567,154.636,1116,154.633,154.709,154.523,154.636,155.023,155.041,154.412,154.636
2016.05.03,19:45,154.64,154.827,154.558,154.814,1257,154.633,154.827,154.523,154.814,155.023,155.041,154.412,154.814
2016.05.03,20:00,154.814,154.867,154.75,154.762,1133,154.814,154.867,154.75,154.762,154.814,154.867,154.75,154.762
2016.05.03,20:15,154.761,154.807,154.625,154.677,1151,154.814,154.867,154.625,154.677,154.814,154.867,154.625,154.677
2016.05.03,20:30,154.677,154.735,154.601,154.709,1123,154.814,154.867,154.601,154.709,154.814,154.867,154.601,154.709
2016.05.03,20:45,154.711,154.765,154.666,154.705,1056,154.814,154.867,154.601,154.705,154.814,154.867,154.601,154.705
2016.05.03,21:00,154.703,154.714,154.595,154.617,1230,154.703,154.714,154.595,154.617,154.814,154.867,154.595,154.617
2016.05.03,21:15,154.619,154.718,154.589,154.689,1139,154.703,154.718,154.589,154.689,154.814,154.867,154.589,154.689
2016.05.03,21:30,154.691,154.766,154.673,154.71,959,154.703,154.766,154.589,154.71,154.814,154.867,154.589,154.71
2016.05.03,21:45,154.714,154.807,154.685,154.73,1207,154.703,154.807,154.589,154.73,154.814,154.867,154.589,154.73
2016.05.03,22:00,154.733,154.807,154.606,154.618,1043,154.733,154.807,154.606,154.618,154.814,154.867,154.589,154.618
2016.05.03,22:15,154.62,154.755,154.619,154.715,873,154.733,154.807,154.606,154.715,154.814,154.867,154.589,154.715
2016.05.03,22:30,154.71,154.723,154.615,154.697,788,154.733,154.807,154.606,154.697,154.814,154.867,154.589,154.697
2016.05.03,22:45,154.696,154.806,154.684,154.734,1053,154.733,154.807,154.606,154.734,154.814,154.867,154.589,154.734
2016.05.03,23:00,154.734,154.83,154.726,154.803,638,154.734,154.83,154.726,154.803,154.814,154.867,154.589,154.803
2016.05.03,23:15,154.801,154.895,154.798,154.856,555,154.734,154.895,154.726,154.856,154.814,154.895,154.589,154.856
2016.05.03,23:30,154.862,154.886,154.816,154.835,577,154.734,154.895,154.726,154.835,154.814,154.895,154.589,154.835
2016.05.03,23:45,154.837,155.064,154.829,154.878,1189,154.734,155.064,154.726,154.878,154.814,155.064,154.589,154.878
2016.05.04,00:00,154.877,155.01,154.877,154.942,556,154.877,155.01,154.877,154.942,154.877,155.01,154.877,154.942
2016.05.04,00:15,154.941,155.205,154.935,155.171,400,154.877,155.205,154.877,155.171,154.877,155.205,154.877,155.171
2016.05.04,00:30,155.177,156.14,155.172,155.571,760,154.877,156.14,154.877,155.571,154.877,156.14,154.877,155.571
2016.05.04,00:45,155.573,155.697,155.402,155.402,989,154.877,156.14,154.877,155.402,154.877,156.14,154.877,155.402
2016.05.04,01:00,155.395,155.395,155.263,155.305,1771,155.395,155.395,155.263,155.305,154.877,156.14,154.877,155.305
2016.05.04,01:15,155.305,155.363,155.095,155.115,975,155.395,155.395,155.095,155.115,154.877,156.14,154.877,155.115
2016.05.04,01:30,155.117,155.333,155.107,155.303,1011,155.395,155.395,155.095,155.303,154.877,156.14,154.877,155.303
2016.05.04,01:45,155.306,155.408,155.241,155.382,863,155.395,155.408,155.095,155.382,154.877,156.14,154.877,155.382
2016.05.04,02:00,155.382,155.399,155.18,155.182,998,155.382,155.399,155.18,155.182,154.877,156.14,154.877,155.182
2016.05.04,02:15,155.182,155.212,155.137,155.142,525,155.382,155.399,155.137,155.142,154.877,156.14,154.877,155.142
2016.05.04,02:30,155.141,155.219,155.053,155.062,999,155.382,155.399,155.053,155.062,154.877,156.14,154.877,155.062
2016.05.04,02:45,155.061,155.224,155.049,155.154,905,155.382,155.399,155.049,155.154,154.877,156.14,154.877,155.154
2016.05.04,03:00,155.153,155.201,154.997,155.031,1059,155.153,155.201,154.997,155.031,154.877,156.14,154.877,155.031
2016.05.04,03:15,155.032,155.068,154.937,154.992,814,155.153,155.201,154.937,154.992,154.877,156.14,154.877,154.992
2016.05.04,03:30,154.988,155.116,154.988,155.064,770,155.153,155.201,154.937,155.064,154.877,156.14,154.877,155.064
2016.05.04,03:45,155.064,155.082,154.971,155.043,877,155.153,155.201,154.937,155.043,154.877,156.14,154.877,155.043
2016.05.04,04:00,155.045,155.153,155.016,155.15,672,155.045,155.153,155.016,155.15,155.045,155.153,155.016,155.15
2016.05.04,04:15,155.155,155.474,155.125,155.45,1571,155.045,155.474,155.016,155.45,155.045,155.474,155.016,155.45
2016.05.04,04:30,155.457,155.643,155.402,155.474,1734,155.045,155.643,155.016,155.474,155.045,155.643,155.016,155.474
2016.05.04,04:45,155.472,155.657,155.444,155.654,960,155.045,155.657,155.016,155.654,155.045,155.657,155.016,155.654
2016.05.04,05:00,155.649,155.755,155.595,155.625,1487,155.649,155.755,155.595,155.625,155.045,155.755,155.016,155.625
2016.05.04,05:15,155.626,155.669,155.479,155.479,996,155.649,155.755,155.479,155.479,155.045,155.755,155.016,155.479
2016.05.04,05:30,155.48,155.595,155.458,155.545,816,155.649,155.755,155.458,155.545,155.045,155.755,155.016,155.545
2016.05.04,05:45,155.546,155.569,155.466,155.526,696,155.649,155.755,155.458,155.526,155.045,155.755,155.016,155.526
2016.05.04,06:00,155.529,155.571,155.502,155.528,599,155.529,155.571,155.502,155.528,155.045,155.755,155.016,155.528
2016.05.04,06:15,155.528,155.626,155.52,155.599,537,155.529,155.626,155.502,155.599,155.045,155.755,155.016,155.599
2016.05.04,06:30,155.598,155.806,155.593,155.806,810,155.529,155.806,155.502,155.806,155.045,155.806,155.016,155.806
2016.05.04,06:45,155.807,155.888,155.77,155.823,984,155.529,155.888,155.502,155.823,155.045,155.888,155.016,155.823
2016.05.04,07:00,155.824,155.837,155.747,155.81,869,155.824,155.837,155.747,155.81,155.045,155.888,155.016,155.81
2016.05.04,07:15,155.811,155.876,155.763,155.78,686,155.824,155.876,155.747,155.78,155.045,155.888,155.016,155.78
2016.05.04,07:30,155.78,155.907,155.778,155.874,516,155.824,155.907,155.747,155.874,155.045,155.907,155.016,155.874
2016.05.04,07:45,155.874,155.894,155.784,155.859,685,155.824,155.907,155.747,155.859,155.045,155.907,155.016,155.859
2016.05.04,08:00,155.861,155.922,155.784,155.919,567,155.861,155.922,155.784,155.919,155.861,155.922,155.784,155.919
2016.05.04,08:15,155.921,155.941,155.798,155.86,540,155.861,155.941,155.784,155.86,155.861,155.941,155.784,155.86
